2ちゃんねる	にチャンネル
ゆで上げる	ゆであげる
ゆとる	ゆとる
ゆふべをす	ゆふべをす
ゆぶめく	ゆぶめく
ゆぶゆぶ	ゆぶゆぶ
ゆり動かす	ゆりうごかす
ゆり落とす	ゆりおとす
ゆるゆる	ゆるゆる
ゆる可愛い	ゆるかわいい
ゆれ動く	ゆれうごく
よい	よい
よいお年をお迎えください	よいおとしをおむかえください
よいお年をお迎え下さい	よいおとしをおむかえください
よいよい	よいよい
よう	よう
ようい	ようい
ようです	ようです
ような気がする	ようなきがする
ように言う	ようにいう
よかれと思う	よかれとおもう
よごもる	よごもる
よさこい	よさこい
よそえる	よそえる
よそにする	よそにする
よそよそしい	よそよそしい
よたる	よたる
よって来たる	よってきたる
よって来る	よってきたる
よなう	よなう
よのう	よのう
よぼくれる	よぼくれる
よぼける	よぼける
よみ人しらず	よみびとしらず
よよむ	よよむ
よらわる	よらわる
よるところが大きい	よるところがおおきい
よるよる	よるよる
よれる	よれる
よろう	よろう
よろける	よろける
よろしくお付き合いください	よろしくおつきあいください
よろしくお付き合い下さい	よろしくおつきあいください
よろしくお願いいたします	よろしくおねがいいたします
よろしくお願いします	よろしくおねがいします
よろつく	よろつく
よろめく	よろめく
らかしい	らかしい
らく	らく
らしい	らしい
らじる★らじる	らじるらじる
らちが明かない	らちがあかない
らちが明かない	ラチがあかない
らっぴらんごく	らっぴらんごく
らつ	らつ
らむ	らむ
らゆ	らゆ
らりる	らりる
らる	らる
られる	られる
らんごく	らんごく
らんばい	らんばい
りやらめく	りやらめく
りゅうびんたい	りゅうびんたい
りゅうりゅう	りゅうりゅう
りょうたつ	りょうたつ
りょうりょう	りょうりょう
りんぼう	りんぼう
る	る
るい	るい
れる	れる
れんぼれれつ	れんぼれれつ
ろうたがる	ろうたがる
ろく	ろく
ろくとう	ろくとう
ろりめく	ろりめく
ろれつが回らない	ろれつがまわらない
わあい	わあい
わあいわあい	わあいわあい
わい	わい
わいやい	わいやい
わいわい	わいわい
わう	わう
わかち合う	わかちあう
わかち持つ	わかちもつ
わがままを言う	わがままをいう
わが物にする	わがものにする
わきが甘い	わきがあまい
わきに寄る	わきによる
わきに置く	わきにおく
わきばむ	わきばむ
わくつく	わくつく
わくどう	わくどう
わくわく	わくわく
わけい	わけい
わけが分からない	わけがわからない
わけが無い	わけがない
わけが違う	わけがちがう
わけでは無い	わけではない
わけには行かない	わけにはいかない
わけの分からない	わけのわからない
わこう	わこう
わして同ぜず	わしてどうぜず
わすらるる	わすらるる
わず	ワズ
わたい	わたい
わっけも無い	わっけもない
わっしょい	わっしょい
わななく	わななく
わにる	わにる
わめき散らす	わめきちらす
わめき立てる	わめきたてる
わやく	わやく
わらじを脱ぐ	わらじをぬぐ
わりない	わりない
わり入れる	わりいれる
わり込む	わりこむ
われもかう	われもかう
われ知らず	われしらず
われ逝くもののごとく	われゆくもののごとく
わろう	わろう
わわめく	わわめく
わわる	わわる
わんこ買い	わんこがい
わんつく	わんつく
んす	んす
んず	んず
んとす	んとす
んと欲す	んとほっす
アっと驚く	あっとおどろく
アっと驚く	アっとおどろく
アっと驚く	アッとおどろく
アイロンを掛ける	アイロンをかける
アウステルリッツの戦い	アウステルリッツのたたかい
アウステルリッツの戰い	アウステルリッツのたたかい
アクが強い	あくがつよい
アクが強い	アクがつよい
アクの強い	あくのつよい
アクの強い	アクのつよい
アゴで使う	あごでつかう
アゴで使う	アゴでつかう
アジる	アジる
アッと驚く	あっとおどろく
アッと驚く	アっとおどろく
アッと驚く	アッとおどろく
アドバルーンを揚げる	アドバルーンをあげる
アパートの鍵貸します	アパートのかぎかします
アブハチ取らず	あぶはちとらず
アブハチ取らず	アブハチとらず
アホ臭い	あほうくさい
アホ臭い	あほくさい
アホ臭い	アホくさい
アラを探す	あらをさがす
アラを探す	アラをさがす
アレキサンダー大王の戦い	アレキサンダーだいおうのたたかい
アレキサンダー大王の戰い	アレキサンダーだいおうのたたかい
アレクサンドロス大王の戦い	アレクサンドロスだいおうのたたかい
アレクサンドロス大王の戰い	アレクサンドロスだいおうのたたかい
アロマを焚く	アロマをたく
アンテナを張る	アンテナをはる
アンテナを立てる	アンテナをたてる
イキが良い	いきがよい
イキが良い	イキがよい
イッソスの戦い	イッソスのたたかい
イッソスの戰い	イッソスのたたかい
イニシアチブを取る	イニシアチブをとる
イベントを生成する	イベントをせいせいする
イロチ買い	いろちがい
イロチ買い	いろチがい
イロチ買い	イロチがい
インターネットで結ぶ	インターネットでむすぶ
インチキ臭い	いんちきくさい
インチキ臭い	インチキくさい
ウィルソンアメリカ虫食い	ウィルソンアメリカむしくい
ウィルソンアメリカ虫食い	ウィルソンアメリカムシクイ
ウイルスを排除する	ウイルスをはいじょする
ウエートを置く	ウエートをおく
ウケを狙う	うけをねらう
ウケを狙う	ウケをねらう
ウケ狙い	うけねらい
ウケ狙い	ウケねらい
ウソを付く	うそをつく
ウソを付く	ウソをつく
ウソを吐く	うそをつく
ウソを吐く	ウソをつく
ウソ臭い	うそくさい
ウソ臭い	ウソくさい
ウマが合う	うまがあう
ウマが合う	ウマがあう
エラが張る	えらがはる
エラが張る	エラがはる
エロっぽい	エロっぽい
エロ可愛い	エロかわいい
エンジンが掛かる	エンジンがかかる
エンジンを吹かす	エンジンをふかす
オカマを掘る	おかまをほる
オカマを掘る	オカマをほる
オクターブが上がる	オクターブがあがる
オズの魔法使い	オズのまほうつかい
オブラートに包む	オブラートにつつむ
オペラは踊る	オペラはおどる
オペラは踴る	オペラはおどる
カイロネイアの戦い	カイロネイアのたたかい
カイロネイアの戰い	カイロネイアのたたかい
カギを掛ける	かぎをかける
カギを掛ける	カギをかける
カギを握る	かぎをにぎる
カギを握る	カギをにぎる
カサカサ鳴る	かさかさなる
カサカサ鳴る	カサカサなる
カタを付ける	かたをつける
カタを付ける	カタをつける
カチンと来る	かちんとくる
カチンと来る	カチンとくる
カチ割る	かちわる
カチ割る	カチわる
カッと来る	かっとくる
カッと来る	カッとくる
カッコ可愛い	かっこうかわいい
カッコ可愛い	かっこかわいい
カッコ可愛い	カッコかわいい
カッコ可愛い	カッコカワイイ
カッコ悪い	かっこうわるい
カッコ悪い	かっこわるい
カッコ悪い	カッコわるい
カビが生える	かびがはえる
カビが生える	カビがはえる
カビ臭い	かびくさい
カビ臭い	カビくさい
カマを掘る	かまをほる
カマを掘る	カマをほる
カマを掛ける	かまをかける
カマを掛ける	カマをかける
カモがネギを背負ってくる	かもがねぎをしょってくる
カモがネギを背負ってくる	カモがねぎをしょってくる
カモがネギを背負って来る	かもがねぎをしょってくる
カモがネギを背負って来る	カモがねぎをしょってくる
カルメン故郷に帰る	カルメンこきょうにかえる
カルメン故鄕に歸る	カルメンこきょうにかえる
カルメン故鄕に皈る	カルメンこきょうにかえる
カンネーの戦い	カンネーのたたかい
カンネーの戰い	カンネーのたたかい
カードを切る	カードをきる
カード払い	カードばらい
カード拂い	カードばらい
ガスる	ガスる
ガソリンが切れる	ガソリンがきれる
ガソリンを入れる	ガソリンをいれる
ガタイが良い	がたいがよい
ガタイが良い	ガタイがよい
ガラが悪い	がらがわるい
ガラが悪い	ガラがわるい
ガラの悪い	がらのわるい
ガラの悪い	ガラのわるい
ガンを付ける	がんをつける
ガンを付ける	ガンをつける
ガンを飛ばす	ガンをとばす
ガンガン食べる	がんがんたべる
ガンガン食べる	ガンガンたべる
ガン付ける	ガンつける
ガン飛ばす	ガンとばす
ガン食い	ガンぐい
ガードが固い	ガードがかたい
ガードが堅い	ガードがかたい
キモ可愛い	きもかわいい
キモ可愛い	キモかわいい
キモ可愛い	キモカワイイ
キャラが立つ	キャラがたつ
キャラが被る	キャラがかぶる
キャラクター掬い	キャラクターすくい
キャリアを積む	キャリアをつむ
キャンプを張る	キャンプをはる
キューに入れる	キューにいれる
ギアを上げる	ギアをあげる
ギブスを嵌める	ギブスをはめる
ギブスを嵌める	ギプスをはめる
ギプスを嵌める	ギブスをはめる
ギプスを嵌める	ギプスをはめる
クスクス笑う	くすくすわらう
クスクス笑う	クスクスわらう
クスッと笑う	くすっとわらう
クスッと笑う	クスッとわらう
クレジットカード払い	クレジットカードばらい
クレジット払い	クレジットばらい
クレームを出す	クレームをだす
クロス商い	クロスあきない
クンクン鳴く	くんくんなく
クンクン鳴く	クンクンなく
グッと来る	ぐっとくる
グッと来る	グッとくる
グラスを傾ける	グラスをかたむける
グラスを重ねる	グラスをかさねる
グループ買い	グループがい
グローブを合わせる	グローブをあわせる
グロ可愛い	グロかわいい
グロ可愛い	グロカワイイ
ケジメを付ける	けじめをつける
ケジメを付ける	ケジメをつける
ケタ違い	けたちがい
ケタ違い	ケタちがい
ケチが付く	けちがつく
ケチが付く	ケチがつく
ケチを付ける	けちをつける
ケチを付ける	ケチをつける
ケチ臭い	けちくさい
ケチ臭い	ケチくさい
ケツが青い	けつがあおい
ケツが青い	しりがあおい
ケツが青い	ケツがあおい
ケツの穴が小さい	けつのあながちいさい
ケツの穴が小さい	ケツのあながちいさい
ケツを捲る	けつをまくる
ケツを捲る	しりをまくる
ケツを捲る	ケツをまくる
ケツ毛を抜く	けつげをぬく
ケツ毛を抜く	しりげをぬく
ケツ毛を抜く	ケツげをぬく
ケラケラ笑う	けらけらわらう
ケラケラ笑う	ケラケラわらう
ケンカが強い	けんかがつよい
ケンカが強い	ケンカがつよい
ケンカっ早い	けんかっぱやい
ケンカっ早い	ケンカっぱやい
ケンカ早い	けんかばやい
ケンカ早い	ケンカばやい
ケーロネアの戦い	ケーロネアのたたかい
ケーロネアの戰い	ケーロネアのたたかい
ゲラゲラ笑う	げらげらわらう
ゲラゲラ笑う	ゲラゲラわらう
ゲロを吐く	げろをはく
ゲロを吐く	ゲロをはく
ゲロゲロ鳴く	ゲロゲロなく
ゲンを担ぐ	げんをかつぐ
ゲンを担ぐ	ゲンをかつぐ
ゲーテ「ファウスト」を読む	ゲーテファウストをよむ
ゲーテ「ファウスト」を讀む	ゲーテファウストをよむ
コアを吐く	コアをはく
コシャマインの戦い	コシャマインのたたかい
コシャマインの戰い	コシャマインのたたかい
コツを掴む	こつをつかむ
コツを掴む	コツをつかむ
コツを覚える	こつをおぼえる
コツを覚える	コツをおぼえる
コツコツ働く	こつこつはたらく
コツコツ働く	コツコツはたらく
コミュニケーションを取る	コミュニケーションをとる
コントラバスを弾く	コントラバスをひく
コントラバスを彈く	コントラバスをひく
コード刺しゅう	コードししゅう
ゴマを擂る	ごまをする
ゴマを擂る	ゴマをする
ゴールを決める	ゴールをきめる
ゴールネットを揺らす	ゴールネットをゆらす
ゴールネットを搖らす	ゴールネットをゆらす
サクラ咲く	さくらさく
サクラ咲く	サクラさく
サクラ散る	さくらちる
サクラ散る	サクラちる
サクラ散る	サクラチル
サブ使い	サブづかい
サボる	サボる
サラトガの戦い	サラトガのたたかい
サラトガの戰い	サラトガのたたかい
サンロマーノの戦い	サンロマーノのたたかい
サンロマーノの戰い	サンロマーノのたたかい
ザマの戦い	ザマのたたかい
ザマの戰い	ザマのたたかい
シミュレーター酔い	シミュレーターよい
シミュレーター醉い	シミュレーターよい
シャクシャインの戦い	シャクシャインのたたかい
シャクシャインの戰い	シャクシャインのたたかい
シャッターを切る	シャッターをきる
シャッポを脫ぐ	シャッポをぬぐ
シャッポを脱ぐ	しゃっぽをぬぐ
シャッポを脱ぐ	シャッポをぬぐ
シャワーを浴びる	シャワーをあびる
シラを切る	しらをきる
シラを切る	シラをきる
ジジ臭い	じじくさい
ジジ臭い	ジジくさい
ジャケット買い	ジャケットがい
ジャケ買い	ジャケがい
ジャズる	ジャズる
ジョイント買い	ジョイントがい
ジロジロ見る	じろじろみる
ジロジロ見る	ジロジロみる
スイッチが入る	スイッチがはいる
スイッチを切る	スイッチをきる
スクラムを組む	スクラムをくむ
スゴい事になる	すごいことになる
スゴい事になる	スゴいことになる
スタートを切る	スタートをきる
スターリングラードの戦い	スターリングラードのたたかい
ステップを踏む	ステップをふむ
ストック買い	ストックがい
ストップを掛ける	ストップをかける
スパートを掛ける	スパートをかける
スピードを落とす	スピードをおとす
スプライン嵌め合い	スプラインはめあい
スポットが当たる	スポットがあたる
スポットを当てる	スポットをあてる
スレ違い	スレちがい
スーパーボール掬い	スーパーボールすくい
ズリ這い	ずりばい
ズリ這い	ズリばい
セレブ買い	セレブがい
ゼイゼイ言う	ぜいぜいいう
ゼイゼイ言う	ぜえぜえいう
ゼイゼイ言う	ぜーぜーいう
ゼイゼイ言う	ゼイゼイいう
ゼイゼイ言う	ゼエゼエいう
ゼイゼイ言う	ゼーゼーいう
ゼエゼエ言う	ぜいぜいいう
ゼエゼエ言う	ぜえぜえいう
ゼエゼエ言う	ぜーぜーいう
ゼエゼエ言う	ゼイゼイいう
ゼエゼエ言う	ゼエゼエいう
ゼエゼエ言う	ゼーゼーいう
ゼーゼー言う	ぜいぜいいう
ゼーゼー言う	ぜえぜえいう
ゼーゼー言う	ぜーぜーいう
ゼーゼー言う	ゼイゼイいう
ゼーゼー言う	ゼエゼエいう
ゼーゼー言う	ゼーゼーいう
ソリが合わない	そりがあわない
ソリが合わない	ソリがあわない
ゾーンに入る	ゾーンにはいる
タイトル買い	タイトルがい
タイルを張る	タイルをはる
タイルを貼る	タイルをはる
タオルを投げる	たおるをなげる
タオルを投げる	タオルをなげる
タガが外れる	たががはずれる
タガが外れる	タガがはずれる
タガが緩む	たががゆるむ
タガが緩む	タガがゆるむ
タガを外す	たがをはずす
タガを外す	タガをはずす
タクシーに乗る	タクシーにのる
タクトを振る	タクトをふる
タダで済む	ただですむ
タダで済む	タダですむ
タダより高いものはない	ただよりたかいものはない
タダより高いものはない	タダよりたかいものはない
タダより高いものは無い	ただよりたかいものはない
タダより高いものは無い	タダよりたかいものはない
タダ食い	ただぐい
タダ食い	タダぐい
タダ飯はない	ただめしはない
タダ飯はない	タダめしはない
タチが悪い	たちがわるい
タチが悪い	タチがわるい
タチの悪い	たちのわるい
タチの悪い	タチのわるい
タッグを組む	タッグをくむ
タバコを吸う	たばこをすう
タバコを吸う	タバコをすう
タバコを止める	たばこをやめる
タバコを止める	タバコをやめる
タメを張る	タメをはる
タメ張る	タメはる
タロット占い	タロットうらない
タンクレディとクロリンダの戦い	タンクレディとクロリンダのたたかい
タンクレディとクロリンダの戰い	タンクレディとクロリンダのたたかい
タンネンベルクの戦い	タンネンベルクのたたかい
タンネンベルクの戰い	タンネンベルクのたたかい
ダイアログボックスを閉じる	ダイアログボックスをとじる
ダサかっこ好い	ださかっこいい
ダサかっこ好い	ダサかっこいい
ダサかっこ好い	ダサカッコイイ
ダフる	ダフる
ダブる	ダブる
ダブル使い	ダブルづかい
ダラダラ食い	ダラダラぐい
チクチク痛む	ちくちくいたむ
チクチク痛む	チクチクいたむ
チャチャを入れる	ちゃちゃをいれる
チャチャを入れる	チャチャをいれる
チャラ付く	チャラつく
チャンパぎく	チャンパぎく
チラッと見る	ちらっとみる
チラッと見る	チラッとみる
ツキが回る	つきがまわる
ツキが回る	ツキがまわる
ツケが回ってくる	つけがまわってくる
ツケが回ってくる	ツケがまわってくる
ツケが回って来る	つけがまわってくる
ツケが回って来る	ツケがまわってくる
ツケが回る	つけがまわる
ツケが回る	ツケがまわる
ツボに入る	つぼにはいる
ツボに入る	ツボにはいる
ツボに嵌まる	つぼにはまる
ツボに嵌まる	ツボにはまる
ツボを押さえる	つぼをおさえる
ツボを押さえる	ツボをおさえる
ツモる	ツモる
ツンと来る	つんとくる
ツンと来る	ツンとくる
ツールポワチエの戦い	ツールポワチエのたたかい
ツールポワチエの戰い	ツールポワチエのたたかい
テクシーで行く	テクシーでいく
テコでも動かない	てこでもうごかない
テコでも動かない	テコでもうごかない
テニスコートの誓い	テニスコートのちかい
テルモピレーの戦い	テルモピレーのたたかい
テルモピレーの戰い	テルモピレーのたたかい
テロとの戦い	テロとのたたかい
テンションが上がる	テンションがあがる
テンパる	テンパる
テープを切る	テープをきる
デフォ買い	デフォがい
デマる	デマる
デモる	デモる
トイレが近い	トイレがちかい
トイレに立つ	トイレにたつ
トゥールポアティエの戦い	トゥールポアティエのたたかい
トゥールポアティエの戰い	トゥールポアティエのたたかい
トップに立つ	トップにたつ
トップを切る	トップをきる
トラの尾を踏む	とらのおをふむ
トラの尾を踏む	トラのおをふむ
トラブる	トラブる
トロイ戦争は起こらない	トロイせんそうはおこらない
トロイ戰爭は起こらない	トロイせんそうはおこらない
ドが付く	どがつく
ドが付く	ドがつく
ドが過ぎる	どがすぎる
ドが過ぎる	ドがすぎる
ドカ食い	どかぐい
ドカ食い	ドカぐい
ドコモ払い	ドコモばらい
ドコモ拂い	ドコモばらい
ドジを踏む	どじをふむ
ドジを踏む	ドジをふむ
ドッペる	ドッペる
ドル買い	ドルかい
ドル買い	ドルがい
ドレッシング買い	ドレッシングがい
ドロンを決める	どろんをきめる
ドロンを決める	ドロンをきめる
ドン臭い	どんくさい
ドン臭い	のろくさい
ドン臭い	ドンくさい
ド肝を抜く	どぎもをぬく
ド肝を抜く	ドぎもをぬく
ナウい	ナウい
ニヤッと笑う	にやっとわらう
ニヤッと笑う	ニヤッとわらう
ネグる	ネグる
ネジを巻く	ねじをまく
ネジを巻く	ネジをまく
ノリが悪い	のりがわるい
ノリが悪い	ノリがわるい
ノリが良い	のりがいい
ノリが良い	のりがよい
ノリが良い	ノリがいい
ノリが良い	ノリがよい
ノリの良い	のりのいい
ノリの良い	のりのよい
ノリの良い	ノリのいい
ノリの良い	ノリのよい
ノンちゃん雲に乗る	のんちゃんくもにのる
ノンちゃん雲に乘る	のんちゃんくもにのる
ハイカる	ハイカる
ハサミを入れる	はさみをいれる
ハサミを入れる	ハサミをいれる
ハッと息をのむ	はっといきをのむ
ハッと息をのむ	ハッといきをのむ
ハッパを掛ける	はっぱをかける
ハッパを掛ける	ハッパをかける
ハッ倒す	はったおす
ハッ倒す	ハッたおす
ハバを取る	はばをとる
ハバを取る	ハバをとる
ハメを外す	はめをはずす
ハメを外す	ハメをはずす
ハモる	ハモる
ハンドルを握る	ハンドルをにぎる
ハードルが高い	ハードルがたかい
ハードルを上げる	ハードルをあげる
ハードルを下げる	ハードルをさげる
バイアスが掛かる	バイアスがかかる
バカが移る	ばかがうつる
バカが移る	バカがうつる
バカとはさみは使いよう	ばかとはさみはつかいよう
バカとはさみは使いよう	バカとはさみはつかいよう
バカとはさみは使いよう	バカとハサミはつかいよう
バカとハサミは使いよう	ばかとはさみはつかいよう
バカとハサミは使いよう	バカとはさみはつかいよう
バカとハサミは使いよう	バカとハサミはつかいよう
バカにつける薬はない	ばかにつけるくすりはない
バカにつける薬はない	バカにつけるくすりはない
バカに付ける薬は無い	ばかにつけるくすりはない
バカに付ける薬は無い	バカにつけるくすりはない
バカは死ななきゃ治らない	ばかはしななきゃなおらない
バカは死ななきゃ治らない	バカはしななきゃなおらない
バカは風邪を引かない	ばかはかぜをひかない
バカは風邪を引かない	バカはかぜをひかない
バカを見る	ばかをみる
バカを見る	バカをみる
バカ笑い	ばかわらい
バカ笑い	バカわらい
バカ食い	バカくい
バカ食い	バカぐい
バカ高い	ばかたかい
バカ高い	ばかだかい
バカ高い	バカたかい
バスに乗り遅れる	ばすにのりおくれる
バスに乗り遅れる	バスにのりおくれる
バスに乗る	バスにのる
バスに乗遅れる	ばすにのりおくれる
バスに乘り遲れる	バスにのりおくれる
バタ臭い	バタくさい
バットを置く	バットをおく
バツが悪い	ばつがわるい
バツが悪い	バツがわるい
バツの悪い	ばつのわるい
バツの悪い	バツのわるい
バトンを渡す	バトンをわたす
バノックバーンの戦い	バノックバーンのたたかい
バノックバーンの戰い	バノックバーンのたたかい
ババを引く	ばばをひく
ババを引く	ババをひく
ババ臭い	ばばくさい
ババ臭い	ババくさい
バランスが良い	バランスがいい
バランスが良い	バランスがよい
バランスを取る	バランスをとる
バランスを失う	バランスをうしなう
バルジの戦い	バルジのたたかい
バーチャルリアリティー酔い	バーチャルリアリティーよい
バーチャルリアリティー醉い	バーチャルリアリティーよい
パケ買い	パケがい
パッケージ買い	パッケージがい
パニック買い	パニックがい
パリ燃ゆ	パリもゆ
パンドラの箱を開ける	パンドラのはこをあける
パーティションを切る	パーティションをきる
ヒタ隠す	ひたかくす
ヒタ隠す	ヒタかくす
ヒポクラテスの誓い	ヒポクラテスのちかい
ビーにじゅうく	ビーにじゅうく
ピアスを開ける	ピアスをあける
ピカッと光る	ピカッとひかる
ピカピカ光る	ぴかぴかひかる
ピカピカ光る	ピカピカひかる
ピクピク動く	ぴくぴくうごく
ピクピク動く	ピクピクうごく
ピクリとも動かない	ぴくりともうごかない
ピクリとも動かない	ピクリともうごかない
ピッチを上げる	ピッチをあげる
ピッチを去る	ピッチをさる
ピッパが通る	ピッパがとおる
ピッピ舩に乘る	ピッピふねにのる
ピッピ船に乗る	ピッピふねにのる
ピッピ船に乘る	ピッピふねにのる
ピヨピヨ鳴く	ぴよぴよなく
ピヨピヨ鳴く	ピヨピヨなく
ピリオドを打つ	ピリオドをうつ
ピンと張る	ぴんとはる
ピンと張る	ピンとはる
ピンと来る	ぴんとくる
ピンと来る	ピンとくる
ピンを撥ねる	ピンをはねる
ピントが外れる	ピントがはずれる
ピントを合わせる	ピントをあわせる
ピークを迎える	ピークをむかえる
フグリが下がる	ふぐりがさがる
フグリが下がる	フグリがさがる
フットライトを浴びる	フットライトをあびる
フットワークが軽い	フットワークがかるい
フラグが立つ	フラグがたつ
ブサ可愛い	ブサかわいい
ブス可愛い	ブスかわいい
ブチ切れる	ぶちきれる
ブチ切れる	ぶちぎれる
ブチ切れる	ブチきれる
ブチ切れる	ブチぎれる
ブチ壊す	うちこわす
ブチ壊す	ぶちこわす
ブチ壊す	ブチこわす
ブチ殺す	ぶちころす
ブチ殺す	ブチころす
ブッ放す	ぶっぱなす
ブッ放す	ブッぱなす
ブレーキが利かない	ブレーキがきかない
ブレーキが掛かる	ブレーキがかかる
ブレーキを掛ける	ブレーキをかける
ブ厚い	ぶあつい
ブ厚い	ブあつい
プラスに転じる	プラスにてんじる
プラタイアイの戦い	プラタイアイのたたかい
プラタイアイの戰い	プラタイアイのたたかい
プラッシーの戦い	プラッシーのたたかい
プラッシーの戰い	プラッシーのたたかい
プリプリ怒る	ぷりぷりおこる
プリプリ怒る	プリプリおこる
プレッシャーを掛ける	プレッシャーをかける
ヘドが出る	へどがでる
ヘドが出る	ヘドがでる
ベストを尽くす	ベストをつくす
ベニスに死す	ベニスにしす
ベロベロ舐める	べろべろなめる
ベロベロ舐める	ベロベロなめる
ベンチを温める	ベンチをあたためる
ベンチを溫める	ベンチをあたためる
ベータテストを実施する	ベータテストをじっしする
ペアを組む	ペアをくむ
ペテンに掛ける	ペテンにかける
ペンを執る	ペンをとる
ペンを折る	ぺんをおる
ペンを折る	ペンをおる
ページ番号をつける	ページばんごうをつける
ページ番号を付ける	ページばんごうをつける
ホトボリが冷める	ほとぼりがさめる
ホトボリが冷める	ホトボリがさめる
ホラを吹く	ほらをふく
ホラを吹く	ホラをふく
ホラガイを吹く	ほらがいをふく
ホラガイを吹く	ホラがいをふく
ホラガイを吹く	ホラガイをふく
ホラティウス兄弟の誓い	ホラティウスきょうだいのちかい
ホラ貝を吹く	ほらがいをふく
ホラ貝を吹く	ホラがいをふく
ホラ貝を吹く	ホラガイをふく
ホロ苦い	ほろにがい
ホロ苦い	ホロにがい
ボタンの掛け違い	ボタンのかけちがい
ボタンをかけ違える	ボタンをかけちがえる
ボタンを掛ける	ボタンをかける
ボタンを掛け違える	ボタンをかけちがえる
ボロが出る	ぼろがでる
ボロが出る	ボロがでる
ボンド扱い	ボンドあつかい
ボール拾い	ボールひろい
ポシャる	ポシャる
ポタポタ落ちる	ぽたぽたおちる
ポタポタ落ちる	ポタポタおちる
ポチる	ぽちる
ポチ買い	ポチがい
マウントを取る	マウントをとる
マウンドに登る	マウンドにのぼる
マジメ腐る	まじめくさる
マジメ腐る	マジメくさる
マッチする	マッチする
マットに沈む	マットにしずむ
マットに沉む	マットにしずむ
マルヌの戦い	マルヌのたたかい
マルヌの戰い	マルヌのたたかい
ミシン縫い	ミシンぬい
ミスる	ミスる
ミスを犯す	ミスをおかす
ミステリの原稾は夜中に徹夜で書こう	ミステリのげんこうはよなかにてつやでかこう
ミステリの原稿は夜中に徹夜で書こう	ミステリのげんこうはよなかにてつやでかこう
ミステリの原藁は夜中に徹夜で書こう	ミステリのげんこうはよなかにてつやでかこう
ミリンダ王の問い	ミリンダおうのとい
ムッと来る	むっとくる
ムッと来る	ムッとくる
ムラ無く	むらなく
ムラ無く	ムラなく
ムードに乗る	ムードにのる
ムードに乘る	ムードにのる
メイン使い	メインづかい
メガネを掛ける	めがねをかける
メガネを掛ける	メガネをかける
メガホンを握る	メガホンをにぎる
メスが入る	メスがいる
メスを入れる	メスをいれる
メッキが剥げる	めっきがはげる
メッキが剥げる	メッキがはげる
メドが立たず	めどがたたず
メドが立たず	メドがたたず
メドが立つ	めどがたつ
メドが立つ	メドがたつ
メモる	メモる
メリハリを付ける	めりはりをつける
メリハリを付ける	メリハリをつける
メンチを切る	メンチをきる
メンツが揃う	メンツがそろう
メンツを立てる	メンツをたてる
モノ乞い	ものごい
モノ乞い	モノごい
モノ扱い	ものあつかい
モノ扱い	モノあつかい
モーションをかける	モーションをかける
モーションを掛ける	モーションをかける
ヤケを起こす	やけをおこす
ヤケを起こす	ヤケをおこす
ヤケ食い	やけぐい
ヤケ食い	ヤケぐい
ヤジを飛ばす	やじをとばす
ヤジを飛ばす	ヤジをとばす
ヤリ捲る	やりまくる
ヤリ捲る	ヤリまくる
ユニホームを脫ぐ	ユニホームをぬぐ
ユニホームを脱ぐ	ユニホームをぬぐ
ヨミが甘い	よみがあまい
ヨミが甘い	ヨミがあまい
ヨリを戻す	よりをもどす
ヨリを戻す	ヨリをもどす
ヨークタウンの戦い	ヨークタウンのたたかい
ヨークタウンの戰い	ヨークタウンのたたかい
ライプチヒの戦い	ライプチヒのたたかい
ライプチヒの戰い	ライプチヒのたたかい
ラス買い	ラスがい
ラップを掛ける	ラップをかける
ラリる	らりる
リアクションを取る	リアクションをとる
リズムを刻む	リズムをきざむ
リピート買い	リピートがい
リピ買い	リピがい
リボルビング払い	リボルビングばらい
リボルビング拂い	リボルビングばらい
リボ払い	リボばらい
リボ拂い	リボばらい
リーグニッツの戦い	リーグニッツのたたかい
リーグニッツの戰い	リーグニッツのたたかい
ルビを振る	ルビをふる
ルビコン川を渡る	ルビコンがわをわたる
ルンルンを買っておうちに帰ろう	るんるんをかっておうちにかえろう
ルンルンを買っておうちに歸ろう	るんるんをかっておうちにかえろう
ルンルンを買っておうちに皈ろう	るんるんをかっておうちにかえろう
レッテルを貼る	レッテルをはる
レーベル買い	レーベルがい
レールが敷かれる	レールがしかれる
ローテーションを組む	ローテーションをくむ
ローマは一日にしてならず	ローマはいちにちにしてならず
ローマは一日にして成らず	ローマはいちにちにしてならず
ローマは弌日にして成らず	ローマはいちにちにしてならず
ローンを組む	ローンをくむ
ワーテルローの戦い	ワーテルローのたたかい
ワーテルローの戰い	ワーテルローのたたかい
ワールシュタットの戦い	ワールシュタットのたたかい
ワールシュタットの戰い	ワールシュタットのたたかい
ヴァージニアウルフなんか恐くない	ヴァージニアウルフなんかこわくない
㫖い	うまい
㫖とする	むねとする
㫪き交ぜる	つきまぜる
㫪き碎く	つきくだく
㫪く	うすづく
㫪く	つく
㳃ぐ	にらぐ
䂓す	きす
䂓則正しい	きそくただしい
䆴が賑わう	かまどがにぎわう
䆴に媚ぶ	かまどにこぶ
䆴を分ける	かまどをわける
䆴を破る	かまどをやぶる
䆴を起こす	かまどをおこす
䉤をつついて蛇を出す	やぶをつついてへびをだす
䌫ふ	むやう
䏮が甘い	わきがあまい
